Source value,VIAF URI,VIAF Label
A. Bertarelli & C.,https://viaf.org/viaf/36146937739913830585,Stab. A. Bertarelli e C.
A. Bes et F. Dubreuil.,https://viaf.org/viaf/157487220,A. Bes et F. Dubreuil
A. Hoen & Co.,https://viaf.org/viaf/138342013,A. Hoen & Co.
A.L. Bancroft & Company.,https://viaf.org/viaf/133036849,A.L. Bancroft & Company
A. Van Hoogstraten & Zn.,https://viaf.org/viaf/53146937799113831818,A. van Hoogstraten & Zn. ('s-Gravenhage)
A. Zeese & Co.,https://viaf.org/viaf/154804361,A. Zeese & Co.
"Aa, Pieter van der, 1659-1733.",https://viaf.org/viaf/5038200,"Aa, Pieter van der 1659-1733"
"Adams, C. B. (Charles Baker), 1814-1853.",https://viaf.org/viaf/25348642,"Adams, Charles Baker, 1814-1853"
Aerospace Center (U.S.),https://viaf.org/viaf/134108754,Aerospace Center (U.S.)
"Agassiz, Alexander, 1835-1910.",https://viaf.org/viaf/5016739,"Agassiz, Alexander, 1835-1910"
"Akrel, Fredrik, 1748-1804.",https://viaf.org/viaf/186720949,"Akrel, Fredrik, 1748-1804."
"Alden, James, 1810-1877.",https://viaf.org/viaf/51606962,"James Alden, Jr. rear admiral in the United States Navy"
"Allard, Carel, 1648-ca. 1709.",https://viaf.org/viaf/79202206,"Allard, Carel, 1648-1709"
"Allardice, S. (Samuel)",https://viaf.org/viaf/23566167,"Allardice, S. (Samuel)"
"Allart, J. (Johannes), 1754-1816.",https://viaf.org/viaf/66259129,"Allart, Johannes, 1754-1816"
"Ambroziak, Russell A.",https://viaf.org/viaf/18862564,"Ambroziak, Russell A."
American Association for the Advancement of Science.,https://viaf.org/viaf/135543655,American association for the advancement of science
American Geological Institute,https://viaf.org/viaf/131986979,American geological institute
"Anderson, Benjamin J. K., b. 1834.",https://viaf.org/viaf/12670525,"Anderson, Benjamin 1834-"
"Anderson, John, fl. 1810-1840.",https://viaf.org/viaf/249466679,"Anderson, John, active 1810-1840"
Andrew B. Graham Co.,https://viaf.org/viaf/123257217,Andrew B. Graham Co.
"Andrews, Ebenezer Turrell, 1766-1851.",https://viaf.org/viaf/25996467,"Andrews, Ebenezer Turrell, 1766-1851"
