Matching text,URI,Label text
"Lange, Henry, 1821-1893.",http://id.loc.gov/rwo/agents/n2001120246,"Lange, Henry, 1821-1893."
"Parrott, William P.",http://id.loc.gov/rwo/agents/n2002082102,"Parrott, William P."
"Tuttle, Gray.",http://id.loc.gov/rwo/agents/n2004055835,"Tuttle, Gray."
"Roost, J. B.",http://id.loc.gov/rwo/agents/n2006071731,"Roost, J. B."
"Osborn, D. S.",http://id.loc.gov/rwo/agents/n2007091369,"Osborn, D. S."
"Bates, M., Jr.",http://id.loc.gov/rwo/agents/n2009025845,"Bates, M., Jr."
"Hoar, J.",http://id.loc.gov/rwo/agents/n2012061810,"Hoar, J."
"Bianconi, F., 1840-",http://id.loc.gov/rwo/agents/n2014065273,"Bianconi, F., 1840-"
"McIntyre, H. (Henry)",http://id.loc.gov/rwo/agents/n2015056152,"McIntyre, H. (Henry)"
"Shoemaker, J. G.",http://id.loc.gov/rwo/agents/n2015185877,"Shoemaker, J. G."
"Scull, Nicholas, 1686?-1761?",http://id.loc.gov/rwo/agents/n50004947,"Scull, Nicholas, 1686?-1761?"
"Mayer, Tobias, 1723-1762.",http://id.loc.gov/rwo/agents/n50007309,"Mayer, Tobias, 1723-1762."
"Beers, F. W. (Frederick W.)",http://id.loc.gov/rwo/agents/n50008151,"Beers, F. W. (Frederick W.)"
"Fuller, Stephen P.",http://id.loc.gov/rwo/agents/n50016671,"Fuller, Stephen P."
"Chase, Ernest Dudley, 1878-",http://id.loc.gov/rwo/agents/n50036233,"Chase, Ernest Dudley, 1878-"
"Cheevers, T.",http://id.loc.gov/rwo/agents/n50036244,"Cheevers, T."
"Jansson, Jan, 1588-1664.",http://id.loc.gov/rwo/agents/n50036720,"Jansson, Jan, 1588-1664."
"Graham, C. B. (Curtis B.)",http://id.loc.gov/rwo/agents/n50066186,"Graham, C. B. (Curtis B.)"
"Schruben, Paul G.",http://id.loc.gov/rwo/agents/n79102298,"Schruben, Paul G."
"Nokleberg, Warren J.",http://id.loc.gov/rwo/agents/n80019132,"Nokleberg, Warren J."
"Nimmo, Sylvia",http://id.loc.gov/rwo/agents/n80036425,"Nimmo, Sylvia"
"Kitchin, Thomas, 1718-1784.",http://id.loc.gov/rwo/agents/n80036699,"Kitchin, Thomas, 1718-1784."
"Parkman, Francis, 1823-1893.",http://id.loc.gov/rwo/agents/n80039370,"Parkman, Francis, 1823-1893."
"Dearborn, N. S. (Nathaniel S.)",http://id.loc.gov/rwo/agents/n80087785,"Dearborn, N. S. (Nathaniel S.)"
"Lindenkohl, A.",http://id.loc.gov/rwo/agents/n80115809,"Lindenkohl, A."
"Gautier, Donald L.",http://id.loc.gov/rwo/agents/n81019385,"Gautier, Donald L."
"Bawiec, W. J.",http://id.loc.gov/rwo/agents/n81064212,"Bawiec, W. J."
"Simkin, Tom.",http://id.loc.gov/rwo/agents/n81064332,"Simkin, Tom."
"Lieth, Helmut",http://id.loc.gov/rwo/agents/n81070508,"Lieth, Helmut"
"Goad, Charles E.",http://id.loc.gov/rwo/agents/n82103043,"Goad, Charles E."
"Rease, W. H.",http://id.loc.gov/rwo/agents/n82106428,"Rease, W. H."
"Hearn, Paul P.",http://id.loc.gov/rwo/agents/n82213719,"Hearn, Paul P."
"Charpentier, Ronald R.",http://id.loc.gov/rwo/agents/n82227479,"Charpentier, Ronald R."
