Matching text,URI,Label text
Census,http://id.worldcat.org/fast/850587,Census
Bodies of water,http://id.worldcat.org/fast/835302,Bodies of water
Human settlements,http://id.worldcat.org/fast/963433,Human settlements
Boundaries,http://id.worldcat.org/fast/837076,Boundaries
Maps,http://id.worldcat.org/fast/1008726,Maps
Transportation,http://id.worldcat.org/fast/1155007,Transportation
Landforms,http://id.worldcat.org/fast/991689,Landforms
Cities and towns,http://id.worldcat.org/fast/861748,Cities and towns
Land use,http://id.worldcat.org/fast/991472,Land use
Landowners,http://id.worldcat.org/fast/991750,Landowners
Buildings,http://id.worldcat.org/fast/840962,Buildings
Demography,http://id.worldcat.org/fast/890158,Demography
Real property,http://id.worldcat.org/fast/1091096,Real property
Administrative and political divisions,http://id.worldcat.org/fast/796826,Administrative and political divisions
"Maps, Topographic",http://id.worldcat.org/fast/1152661,Topographic maps
"Insurance, Fire",http://id.worldcat.org/fast/1715814,Fire insurance
Population Statistics,http://id.worldcat.org/fast/1071509,Population--Statistics
Population,http://id.worldcat.org/fast/1071476,Population
Adminstrative divisions,http://id.worldcat.org/fast/796826,Administrative and political divisions
Rivers,http://id.worldcat.org/fast/1098312,Rivers
Public libraries,http://id.worldcat.org/fast/1082640,Public libraries
