Column 2
"[Alexandria, VA]"
"[Beijing, China]"
"[Seattle, Washington]."
"Allston, MA"
"Apeldoorn, Netherlands"
"Beijing, PRC"
"Boston, Mass."
"Brookline, Mass."
Cambridge
"Cambridge, MA"
"Cambridge, MA, USA"
"Cambridge, MA."
"Cambridge, Mass."
"Cambridge, Massachusetts"
"Denver, Colo."
"Fairfax, VA"
"Highlands Ranch, CO"
"Mainz, Germany"
"Minneapolis, Minnesota"
"Minneapolis, MN"
New Delhi
"New Delhi, India"
"New Orleans, LA"
"Redlands, California, USA"
"Reston, VA"
"Reston, Va."
"Washington, DC"
"Yverdon-les-Bains, Switzerland"
