value,URI,label
"[Alexandria, VA]",http://sws.geonames.org/4744106,City of Alexandria
"[Beijing, China]",http://sws.geonames.org/1816670,Beijing
"[Seattle, Washington].",http://sws.geonames.org/7174408,City of Seattle
"Allston, MA",http://sws.geonames.org/4928934,Allston
"Apeldoorn, Netherlands",http://sws.geonames.org/2759706,Apeldoorn
"Beijing, PRC",http://sws.geonames.org/1816670,Beijing
"Boston, Mass.",http://sws.geonames.org/4931029,City of Boston
"Brookline, Mass.",http://sws.geonames.org/4931504,Town of Brookline
Cambridge,http://sws.geonames.org/4932004,City of Cambridge
"Cambridge, MA",http://sws.geonames.org/4932004,City of Cambridge
"Cambridge, MA, USA",http://sws.geonames.org/4932004,City of Cambridge
"Cambridge, MA.",http://sws.geonames.org/4932004,City of Cambridge
"Cambridge, Mass.",http://sws.geonames.org/4932004,City of Cambridge
"Cambridge, Massachusetts",http://sws.geonames.org/4932004,City of Cambridge
"Denver, Colo.",http://sws.geonames.org/5419384,Denver
"Fairfax, VA",http://sws.geonames.org/4758109,City of Fairfax
"Highlands Ranch, CO",http://sws.geonames.org/5425043,Highlands Ranch
"Mainz, Germany",http://sws.geonames.org/2874225,Mainz
"Minneapolis, Minnesota",http://sws.geonames.org/5037657,City of Minneapolis
"Minneapolis, MN",http://sws.geonames.org/5037657,City of Minneapolis
New Delhi,http://sws.geonames.org/1261481,New Delhi
"New Delhi, India",http://sws.geonames.org/1261481,New Delhi
"New Orleans, LA",http://sws.geonames.org/4335053,City of New Orleans
"Redlands, California, USA",http://sws.geonames.org/5386754,Redlands
"Reston, VA",http://sws.geonames.org/4781530,Reston
"Reston, Va.",http://sws.geonames.org/4781530,Reston
"Washington, DC",http://sws.geonames.org/4138106,District of Columbia
"Yverdon-les-Bains, Switzerland",http://sws.geonames.org/7287620,Yverdon-les-Bains
