layer_id,Title,Source,URI,Label
CAMBRIDGE14PRIVATESCHOOLS,"Private Schools, Cambridge, Massachusetts, 2014",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14PRIVATEWALKWAYS,"Private Walkways, Cambridge, Massachusetts, 2010 (pub. 2014)",None,,"City of Cambridge, MA | USA"
CAMBRIDGE14PRIVATEWALKWAYS,"Private Walkways, Cambridge, Massachusetts, 2010 (pub. 2014)",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14PUBLICFOOTPATHS,"Public Footpaths, Cambridge, Massachusetts, 2010 (pub. 2014)",None,,"City of Cambridge, MA | USA"
CAMBRIDGE14PUBLICFOOTPATHS,"Public Footpaths, Cambridge, Massachusetts, 2010 (pub. 2014)",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14PUBLICLIBRARIES,"Public Libraries, Cambridge, Massachusetts, 2014",LCNA,,Massachusetts | Cambridge
CAMBRIDGE14PUBLICLIBRARIES,"Public Libraries, Cambridge, Massachusetts, 2014",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14PUBLICPOOLS,"Public Pools, Cambridge, Massachusetts, 2006 (pub. 2014)",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14PUBLICSCHOOLS,"Public Schools, Cambridge, Massachusetts, 2014",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14RAIL,"Rail lines, Cambridge, Massachusetts, 2010 (pub. 2014)",None,,"City of Cambridge, MA | USA"
CAMBRIDGE14RAIL,"Rail lines, Cambridge, Massachusetts, 2010 (pub. 2014)",GNIS,http://sws.geonames.org/4932004,City of Cambridge
ESRI04ALBLKPOP,ESRI Data & Maps 2004 : U.S. Census Block Centroid Populations : Alabama,GNIS,http://sws.geonames.org/4829764,Alabama
ESRI05USBLKPOP_AL,ESRI Data & Maps 2005 : U.S. Census Block Centroid Populations : Alabama,GNIS,http://sws.geonames.org/4829764,Alabama
ESRI05USDTL_RIVERS_AL,ESRI Data & Maps 2005 : U.S. Rivers and Streams : Alabama,GNIS,http://sws.geonames.org/4829764,Alabama
ESRI06USBLKPOP_AL,ESRI Data & Maps 2006 : U.S. Census Block Centroid Populations : Alabama,GNIS,http://sws.geonames.org/4829764,Alabama
ESRI07USBLKPOP_AL,Alabama U.S. Census Block Centroid Populations : ESRI Data & Maps 2007,GNIS,http://sws.geonames.org/4829764,Alabama
FEMA_01_FLD_HAZ_AR_AL,"Flood Insurance Risk Zones, Alabama, 2011",GNIS,http://sws.geonames.org/4829764,Alabama
MACON95_ALDEM_TRACT,"Alabama Census Tract Demographics, 1995, MaconUSA",GNIS,http://sws.geonames.org/4829764,Alabama
MACON95_ALDEM_ZIP,"Alabama ZIP Code Demographics, 1995, MaconUSA",GNIS,http://sws.geonames.org/4829764,Alabama
MACON95_ALMKT_TRACT,"Alabama Census Tract Market Data, 1995, MaconUSA",GNIS,http://sws.geonames.org/4829764,Alabama
MACON95_ALMKT_ZIP,"Alabama ZIP Code Market Data, 1995, MaconUSA",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALAIR,"UA Census American Indian Reservations, 1990 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALAIR00,"UA Census American Indian Reservations, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALBLK,"UA Census Blocks, 1990 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALBLK00,"UA Census Blocks, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALCCD,"UA Census County Subdivisions, 1990 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALCCD00,"UA Census County Subdivisions, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALCD106,"UA Census Congressional Districts, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
