layer_id,Title,Source,URI,Label
CAMBRIDGE14PRIVATESCHOOLS,"Private Schools, Cambridge, Massachusetts, 2014",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14PRIVATEWALKWAYS,"Private Walkways, Cambridge, Massachusetts, 2010 (pub. 2014)",None,,"City of Cambridge, MA | USA"
CAMBRIDGE14PRIVATEWALKWAYS,"Private Walkways, Cambridge, Massachusetts, 2010 (pub. 2014)",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14PUBLICFOOTPATHS,"Public Footpaths, Cambridge, Massachusetts, 2010 (pub. 2014)",None,,"City of Cambridge, MA | USA"
CAMBRIDGE14PUBLICFOOTPATHS,"Public Footpaths, Cambridge, Massachusetts, 2010 (pub. 2014)",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14PUBLICLIBRARIES,"Public Libraries, Cambridge, Massachusetts, 2014",LCNA,,Massachusetts | Cambridge
CAMBRIDGE14PUBLICLIBRARIES,"Public Libraries, Cambridge, Massachusetts, 2014",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14PUBLICPOOLS,"Public Pools, Cambridge, Massachusetts, 2006 (pub. 2014)",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14PUBLICSCHOOLS,"Public Schools, Cambridge, Massachusetts, 2014",GNIS,http://sws.geonames.org/4932004,City of Cambridge
CAMBRIDGE14RAIL,"Rail lines, Cambridge, Massachusetts, 2010 (pub. 2014)",None,,"City of Cambridge, MA | USA"
CAMBRIDGE14RAIL,"Rail lines, Cambridge, Massachusetts, 2010 (pub. 2014)",GNIS,http://sws.geonames.org/4932004,City of Cambridge
