fgdc1	None	 "United States | Delaware"
fgdc10	GNIS	 "Colorado"
fgdc100	GNIS	 "New York | New York, New York | Manhattan | Brooklyn | Queens"
fgdc100	GNIS	 "New Jersey | Edgewater | Englewood Cliffs | Fort Lee | Guttenberg | Hoboken | Jersey City | North Bergen | Weehawken | West New york"
fgdc1000	GNIS	 "Maine"
fgdc101	GNIS	 "Massachusetts | Boylston"
fgdc102	GNIS	 "Georgia"
fgdc102	INCITS.38-200x (R2004),INCITS.31-200x (R2007),INCITS.454-200x,INCITS 455-200x,INCITS 446-2008	 "United States | U.S. | State or Equivalent Entity | Georgia | GA | 13"
fgdc103	GNS	 "Angola | Zambia"
fgdc104	GNIS	 "Indiana"
fgdc105	GNIS	 "Indiana"
fgdc106	GNIS	 "North Carolina"
fgdc107	GNS	 "Afghanistan | Bangladesh | Bhutan | Brunei | Burma | Cambodia | China | India | Indonesia | Laos | Malaysia | Maldives | Nepal | Pakistan | Philippines | Singapore | Sri Lanka | Tajikistan | Thailand | Turkmenistan | Uzbekistan | Vietnam"
fgdc107	LCSH	 "South Asia | Southeast Asia"
fgdc108	GNS	 "Chile | Libertador General Bernardo O'Higgins, Region del | Maule, Region del | Region Metropolitana de Santiago | San Fernando"
fgdc109	GNIS	 "Massachusetts | Wareham | Carver | Plymouth | Bourne"
fgdc11	GNIS	 "Kentucky"
fgdc110	GNIS	 "Newton | Massachusetts"
fgdc111	GNIS	 "North Dakota"
fgdc112	GNIS	 "Massachusetts | Boston"
fgdc113	GNIS	 "Massachusetts | Boston | West Roxbury"
fgdc114	GNIS	 "Montana"
fgdc115	GNIS	 "California"
fgdc116	GNS	 "Czech Republic | Prague"
fgdc117	GNIS	 "Idaho"
fgdc118	GNS	 "Atlantic Ocean | Gulf of Mexico | Caribbean Sea | Anguilla | Antigua and Barbuda | Aruba | Bahamas, The | Barbados | Belize | Bermuda | British Virgin Islands | Cayman Islands | Colombia | Costa Rica | Cuba | Curaçao | Dominica | Dominican Republic | El Salvador | French Guiana | Grenada | Guadeloupe | Guatemala | Guyana | Haiti | Honduras | Jamaica | Mexico | Martinique | Montserrat | Netherlands | Nicaragua | Panama | Saint Kitts and Nevis | Saint Lucia | Saint Vincent and the Grenadines | Sint Maarten | Trinidad and Tobago | Turks and Caicos Islands | Venezuela"
fgdc118	GNS	 "Netherlands | Bonaire | Sint Eustatius | Saba"
fgdc118	GNIS	 "United States | Virgin Islands | Puerto Rico"
fgdc119	GNIS	 "Virginia"
fgdc12	GNS	 "Nicaragua | Granada, Departamento de | Masaya, Departamento de | Granada"
fgdc120	None	 "United States | North Dakota"
