layer_id	Themekey thesaurus	placekey value
fgdc10	GNIS	Colorado
fgdc1000	GNIS	Maine
fgdc102	GNIS	Georgia
fgdc104	GNIS	Indiana
fgdc105	GNIS	Indiana
fgdc106	GNIS	North Carolina
fgdc11	GNIS	Kentucky
fgdc111	GNIS	North Dakota
fgdc114	GNIS	Montana
fgdc115	GNIS	California
fgdc117	GNIS	Idaho
fgdc119	GNIS	Virginia
fgdc122	GNIS	South Carolina
fgdc123	None	United States
fgdc125	GNS	Israel
fgdc126	GNIS	Rhode Island
fgdc13	GNIS	Missouri
fgdc130	GNIS	Oregon
fgdc131	GNIS	Missouri
fgdc132	GNIS	Kentucky
fgdc133	GNIS	Kansas
fgdc134	GNS	Switzerland
fgdc136	GNIS	New York (State)
fgdc139	GNIS	Nebraska
fgdc140	LCSH	United States
fgdc141	GNIS	Nevada
fgdc142	GNIS	Virginia
fgdc143	LCSH	South America
fgdc144	GNIS	Ohio
fgdc147	LCSH	"Africa, North"
fgdc148	GNIS	"New York, New York"
fgdc149	GNIS	Montana
fgdc150	GNIS	Kentucky
fgdc151	GNIS	South Dakota
fgdc154	GNIS	Nebraska
fgdc155	GNS	Tanzania
fgdc156	GNS	United States
fgdc158	GNIS	Rhode Island
fgdc159	GNIS	Illinois
fgdc163	GNS	Mauritania
fgdc165	GNIS	New Jersey
fgdc166	GNIS	Washington (State)
fgdc167	GNIS	Massachusetts
fgdc168	GNIS	South Dakota
fgdc173	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc174	LCSH	Europe
fgdc176	GNIS	Mississippi
fgdc177	LCSH	United States
fgdc178	GNIS	Ohio
fgdc179	GNIS	North Carolina
fgdc18	GNS	Caribbean Sea
fgdc181	GNIS	Maine
fgdc182	GNIS	Tennessee
fgdc185	GNIS	Pennsylvania
fgdc186	LCSH	Europe
fgdc187	GNIS	Maine
fgdc191	GNIS	Mississippi
fgdc196	GNIS	New Jersey
fgdc200	GNIS	Illinois
fgdc202	None	Canada
fgdc203	GNIS	Maine
fgdc204	GNIS	South Dakota
fgdc206	GNIS	District of Columbia
fgdc206	LCSH	Washington (D.C.)
fgdc208	LCSH	United States
fgdc21	GNIS	Kentucky
fgdc210	GNIS	North Dakota
fgdc212	GNS	Israel
fgdc215	GNIS	Nevada
fgdc217	LCSH	Europe
fgdc219	GNIS	Indiana
fgdc221	GNIS	Massachusetts
fgdc222	GNIS	Michigan
fgdc223	None	World
fgdc230	GNIS	West Virginia
fgdc235	GNIS	Utah
fgdc236	GNIS	New Mexico
fgdc237	GNIS	Vermont
fgdc238	GNIS	Florida
fgdc239	GNIS	Michigan
fgdc241	GNIS	Maryland
fgdc242	GNIS	Maine
fgdc243	GNIS	Alaska
fgdc244	GNS	Germany
fgdc245	GNIS	Texas
fgdc246	GNIS	Kentucky
fgdc247	GNIS	Indiana
fgdc248	GNIS	Iowa
fgdc249	GNS	Atlantic Ocean
fgdc25	GNIS	Louisiana
fgdc251	GNIS	Hawaii
fgdc252	GNIS	Nebraska
fgdc257	GNIS	Puerto Rico
fgdc259	GNIS	Indiana
fgdc260	None	United States
fgdc262	GNIS	Kansas
fgdc264	None	Europe
fgdc265	GNIS	Alabama
fgdc269	GNS	Mozambique
fgdc274	GNIS	Oklahoma
fgdc276	LCSH	Europe
fgdc277		New Jersey
fgdc278	GNIS	Indiana
fgdc280	None	World
fgdc281	GNIS	Washington (State)
fgdc282	GNIS	New Hampshire
fgdc283	GNIS	United States
fgdc286	GNIS	South Carolina
fgdc288	GNIS	Idaho
fgdc29	GNIS	Texas
fgdc290	GNIS	New Mexico
fgdc291	GNIS	Vermont
fgdc293	GNIS	Iowa
fgdc294	GNIS	Maryland
fgdc295	GNIS	Georgia
fgdc296	GNIS	Idaho
fgdc297	LCSH	Europe
fgdc299	LCSH	"Asia, Central"
fgdc30	GNIS	Texas
fgdc302	LCSH	Europe
