layer_id	Title	Thesaurus	Placekey
AFRICOVER_BU_ADM	Burundi Administrative Boundaries	GNS	Burundi
AFRICOVER_BU_CULT_AGG	Burundi Thematic Agriculture Aggregation Landcover	GNS	Burundi
AFRICOVER_BU_GRASS_AGG	Burundi Thematic Grassland Aggregation Landcover	GNS	Burundi
AFRICOVER_BU_LANDCOVER	Burundi Multipurpose Landcover Database	GNS	Burundi
AFRICOVER_BU_LANDFORM	Burundi Geomorphology : Landform and Lithology	GNS	Burundi
AFRICOVER_BU_MAJ_TOWN	Burundi Major Towns	GNS	Burundi
AFRICOVER_BU_OTHERTOWNS	Burundi Towns	GNS	Burundi
AFRICOVER_BU_POLBND	Burundi National Boundaries	GNS	Burundi
AFRICOVER_BU_RIVERS	Burundi Rivers	GNS	Burundi
AFRICOVER_BU_ROADS	Burundi Roads	GNS	Burundi
AFRICOVER_BU_SPAT_AGG	Burundi Spatially Aggregated Multipurpose Landcover Database	GNS	Burundi
AFRICOVER_BU_WOODY_AGG	Burundi Thematic Woody Aggregation Landcover	GNS	Burundi
AFRICOVER_DRC_ADM	Democratic Republic of the Congo Administrative Boundaries	GNS	Congo
AFRICOVER_DRC_CULT_AGG	Democratic Republic of the Congo Thematic Agriculture Aggregation Landcover	GNS	Congo
AFRICOVER_DRC_GRASS_AGG	Democratic Republic of the Congo Thematic Grassland Aggregation Landcover	GNS	Congo
AFRICOVER_DRC_LANDCOVER_GE	Democratic Republic of the Congo Landcover	GNS	Congo
AFRICOVER_DRC_MAJORTOWNS	Democratic Republic of the Congo Major Towns	GNS	Congo
AFRICOVER_DRC_OTHERTOWNS	Democratic Republic of the Congo Towns	GNS	Congo
AFRICOVER_DRC_POLBND	Democratic Republic of the Congo National Boundaries	GNS	Congo
AFRICOVER_DRC_RIVERS	Democratic Republic of the Congo Rivers	GNS	Congo
AFRICOVER_DRC_ROADS	Democratic Republic of the Congo Roads	GNS	Congo
AFRICOVER_DRC_SPAT_AGG	Democratic Republic of the Congo Spatially Aggregated Multipurpose Landcover Database	GNS	Congo
AFRICOVER_DRC_WOODY_AGG	Democratic Republic of the Congo Thematic Woody Aggregation Landcover	GNS	Congo
AFRICOVER_EG_ADM	Egypt Administrative Boundaries	GNS	Egypt
AFRICOVER_EG_BARE_AREAS_AGG	Egypt Thematic Bare Areas Aggregation Landcover	GNS	Egypt
AFRICOVER_EG_CITY	Egypt Cities	GNS	Egypt
AFRICOVER_EG_CULT_AGG	Egypt Thematic Cultivation Aggregation Landcover	GNS	Egypt
AFRICOVER_EG_LNDCOV	Egypt Multipurpose Landcover Database	GNS	Egypt
AFRICOVER_EG_NAT_VEG_AGG	Egypt Thematic Natural Vegetation Aggregation Landcover	GNS	Egypt
AFRICOVER_EG_POLBND	Egypt National Boundaries	GNS	Egypt
AFRICOVER_EG_RIVERS	Egypt Rivers	GNS	Egypt
AFRICOVER_EG_ROADS	Egypt Roads	GNS	Egypt
AFRICOVER_EG_SPAT_AGG	Egypt Spatially Aggregated Multipurpose Landcover Database	GNS	Egypt
AFRICOVER_EG_TOWN	Egypt Towns	GNS	Egypt
AFRICOVER_EG_VILLAGE	Egypt Villages	GNS	Egypt
AFRICOVER_ER_ADM	Eritrea Administrative Boundaries	GNS	Eritrea
AFRICOVER_ER_CULT_AGG	Eritrea Thematic Agriculture Aggregation Landcover	GNS	Eritrea
AFRICOVER_ER_GRASS_AGG	Eritrea Thematic Grassland Aggregation Landcover	GNS	Eritrea
AFRICOVER_ER_LNDCOV_GE	Eritrea Landcover	GNS	Eritrea
AFRICOVER_ER_LNDFRM	Eritrea Geomorphology : Landform and Lithology	GNS	Eritrea
AFRICOVER_ER_MJTOWNS	Eritrea Major Towns	GNS	Eritrea
AFRICOVER_ER_OTHERTOWNS	Eritrea Towns	GNS	Eritrea
AFRICOVER_ER_POLBND	Eritrea National Boundaries	GNS	Eritrea
AFRICOVER_ER_RIVERS	Eritrea Rivers	GNS	Eritrea
AFRICOVER_ER_ROADS	Eritrea Roads	GNS	Eritrea
AFRICOVER_ER_SPAT_AGG	Eritrea Spatially Aggregated Multipurpose Landcover Database	GNS	Eritrea
AFRICOVER_ER_WOODY_AGG	Eritrea Thematic Woody Aggregation Landcover	GNS	Eritrea
AFRICOVER_KE_ADM	Kenya Administrative Boundaries	GNS	Kenya
AFRICOVER_KE_CULT_AGG	Kenya Thematic Agriculture Aggregation Landcover	GNS	Kenya
AFRICOVER_KE_GRASS_AGG	Kenya Thematic Grassland Aggregation Landcover	GNS	Kenya
AFRICOVER_KE_LNDCOV_GE	Kenya Landcover	GNS	Kenya
AFRICOVER_KE_LNDFRM	Kenya Geomorphology : Landform and Lithology	GNS	Kenya
AFRICOVER_KE_MJTOWNS	Kenya Major Towns	GNS	Kenya
